date_group,school,grade,onlinetime,bindcash,totaltime,combatscore,sex,deltatime
Day2,5.4704841774225255,20.41040424556116,7029005.700058966,43637.94843739763,11834675.358710608,22215.687151936054,0.8901264495839613,15677641.420428487
Day3,5.460067947872826,24.711272247857615,7923009.83722935,63691.44348663861,26303249.176005274,29901.319405709648,0.8703919679529436,14692107.195375487
Day4,5.535004987757323,25.901831867234968,6922015.734107192,72711.9691665911,36887173.2565521,33701.053369003355,0.8343157703817902,11695410.084338441
Day5,5.500301358431082,27.731141916639622,6756213.6863090545,93141.97232138718,48318283.5087394,38004.224674301084,0.8568315638184432,11655156.010941628
Day6,5.474680170575693,28.251910092395168,6388110.607675906,98157.1830135039,56431758.35110164,40721.08106787491,0.8570540156361052,10818738.27292111
Day7,5.491811030391609,29.079525426643166,6257002.23530929,107555.91613291494,63796854.44697589,42898.71461118515,0.8488157159437734,10645744.48695353
Day8,5.567297176880392,29.20964802138604,5579424.804568836,111077.6189801126,69264574.22333834,43742.86354246831,0.7951314350520474,10274581.433026854
Day9,5.4956077972057225,30.439345770936168,5960761.64979503,119509.1163306283,78492914.37296076,46353.26311386263,0.702752447084414,11484994.47837363
Day10,5.444284869477063,31.661865337501055,6454305.2716059815,122311.1209765988,88897835.43127482,48738.91602602011,0.6585283433302357,12177153.88189575
Day11,5.45283589832267,32.45564585855092,6769186.797509943,124177.4609631679,100549550.23344284,51484.20659692201,0.6107124329932561,11313611.360885354
Day12,5.420633163604162,33.78578702678769,6617039.406685853,134514.87974319237,111634898.64954616,54853.997564755366,0.5894177551472216,11734248.926278504
Day13,5.44598844127146,34.09982151963284,6432296.107428183,128266.69263131055,116538846.84684685,55622.27791942886,0.560640829508754,10920301.929287778
Day14,5.4627941957175725,34.23066713855955,6549254.202795966,129143.31538665722,125877722.65970625,57301.19200141568,0.520438860378694,10101430.587506635
